year,month,ncm,commodity,subtype,description,country_code,country_name,qt_estat,kg_net,mt,bales_480lb,fob_usd
1997,1,09012100,coffee,arabica_green,Roasted arabica (not decaff),586,Unknown,1,200,0.2,0.92,1764
1997,1,09019000,coffee,arabica_green,Coffee husks and substitutes,586,Unknown,0,312,0.312,1.43,1391
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),586,Unknown,9,8764,8.764,40.25,104227
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),603,Unknown,24,23760,23.76,109.13,72587
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),628,New Caledonia,432,440860,440.86,2024.86,1992556
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),628,New Caledonia,14,13050,13.05,59.94,45751
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),670,Unknown,36,36000,36.0,165.35,300312
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,77,77819,77.819,357.42,351292
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,20,20266,20.266,93.08,98292
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,150,151062,151.062,693.82,1130397
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,160,161376,161.376,741.2,941962
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,767,777644,777.644,3571.7,4496507
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),676,Unknown,44,44468,44.468,204.24,191208
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),728,Unknown,5,5198,5.198,23.87,25140
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),741,Unknown,95,92641,92.641,425.5,456596
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),756,Unknown,6,5700,5.7,26.18,34337
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),764,Unknown,22,22800,22.8,104.72,139545
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),767,Unknown,13,12615,12.615,57.94,39544
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),831,Unknown,428,428400,428.4,1967.63,3256106
1997,1,09012100,coffee,arabica_green,Roasted arabica (not decaff),845,Unknown,0,180,0.18,0.83,329
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),845,Unknown,0,480,0.48,2.2,4800
1997,1,21011110,coffee,soluble,Soluble/instant coffee extract (not decaff),845,Unknown,5,5280,5.28,24.25,47260
1997,1,10051000,corn,seed_corn,Corn seed,063,Bangladesh,0,8000,8.0,36.74,4000
1997,1,10051000,corn,seed_corn,Corn seed,097,Unknown,0,200,0.2,0.92,180
1997,1,10051000,corn,seed_corn,Corn seed,239,Iran,0,340,0.34,1.56,6999
1997,1,10051000,corn,seed_corn,Corn seed,249,Israel,0,3488,3.488,16.02,5688
1997,1,10051000,corn,seed_corn,Corn seed,249,Israel,0,70000,70.0,321.51,142400
1997,1,10059010,corn,yellow_corn,Yellow dent corn,573,Unknown,0,170000000,170000.0,780805.06,20000000
1997,1,10051000,corn,seed_corn,Corn seed,586,Unknown,0,258300,258.3,1186.36,386733
1997,1,10051000,corn,seed_corn,Corn seed,586,Unknown,0,40000,40.0,183.72,38700
1997,1,10059090,corn,yellow_corn,Other corn not seed,586,Unknown,0,1248,1.248,5.73,2314
1997,1,10051000,corn,seed_corn,Corn seed,586,Unknown,0,26380,26.38,121.16,38728
1997,1,10059010,corn,yellow_corn,Yellow dent corn,586,Unknown,0,1022,1.022,4.69,1876
1997,1,15071000,soybeans,soybean_oil,Crude soybean oil,023,Albania,500,500000,500.0,2296.49,287150
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,023,Albania,11796,11796328,11796.328,54180.19,3292290
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,023,Albania,5000,5000000,5000.0,22964.85,1397150
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,023,Albania,141,140672,140.672,646.1,38378
1997,1,12010010,soybeans,raw_soybeans,Soybeans for sowing,063,Bangladesh,200,200000,200.0,918.59,104000
1997,1,15071000,soybeans,soybean_oil,Crude soybean oil,081,Unknown,5430,5430000,5430.0,24939.83,2920399
1997,1,15071000,soybeans,soybean_oil,Crude soybean oil,081,Unknown,8930,8930000,8930.0,41015.23,4488751
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,090,Burkina Faso,2000,2000000,2000.0,9185.94,507960
1997,1,12010010,soybeans,raw_soybeans,Soybeans for sowing,097,Unknown,100,100000,100.0,459.3,60500
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,145,Dominica,300,300000,300.0,1377.89,84000
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,158,Unknown,0,3000,3.0,13.78,1620
1997,1,15071000,soybeans,soybean_oil,Crude soybean oil,160,United Arab Emirates,20250,20250000,20250.0,93007.66,10208000
1997,1,23040090,soybeans,soybean_meal,Soybean oilcake residues other,160,United Arab Emirates,26483,26483179,26483.179,121636.47,7527569
